#Release 13.2 - par O.61xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Aug 21 23:17:19 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       MUX4_hot_map.ncd
#OUTPUT FILE:      MUX4_hot_pad.csv
#PART TYPE:        xc5vlx330
#SPEED GRADE:      -2
#PACKAGE:          ff1760
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A2,,IOBM,IO_L18P_28,UNUSED,,28,,,,,,,,,
A3,,,GND,,,,,,,,,,,,
A4,,IOBS,IO_L13N_28,UNUSED,,28,,,,,,,,,
A5,,IOBM,IO_L12P_VRN_28,UNUSED,,28,,,,,,,,,
A6,,IOBS,IO_L12N_VRP_28,UNUSED,,28,,,,,,,,,
A7,,IOBM,IO_L11P_CC_28,UNUSED,,28,,,,,,,,,
A8,,,GND,,,,,,,,,,,,
A9,,IOBM,IO_L7P_28,UNUSED,,28,,,,,,,,,
A10,,IOBS,IO_L5N_28,UNUSED,,28,,,,,,,,,
A11,,IOBM,IO_L5P_28,UNUSED,,28,,,,,,,,,
A12,,IOBS,IO_L2N_28,UNUSED,,28,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,,IOBM,IO_L16P_32,UNUSED,,32,,,,,,,,,
A15,,IOBS,IO_L16N_32,UNUSED,,32,,,,,,,,,
A16,,IOBM,IO_L14P_32,UNUSED,,32,,,,,,,,,
A17,,IOBS,IO_L14N_VREF_32,UNUSED,,32,,,,,,,,,
A18,,,GND,,,,,,,,,,,,
A19,,IOBM,IO_L12P_VRN_32,UNUSED,,32,,,,,,,,,
A20,,IOBM,IO_L10P_CC_32,UNUSED,,32,,,,,,,,,
A21,,IOBM,IO_L11P_CC_32,UNUSED,,32,,,,,,,,,
A22,,IOBS,IO_L11N_CC_32,UNUSED,,32,,,,,,,,,
A23,,,GND,,,,,,,,,,,,
A24,,IOBS,IO_L6N_32,UNUSED,,32,,,,,,,,,
A25,,IOBS,IO_L4N_VREF_32,UNUSED,,32,,,,,,,,,
A26,,IOBS,IO_L1N_32,UNUSED,,32,,,,,,,,,
A27,,IOBS,IO_L3N_32,UNUSED,,32,,,,,,,,,
A28,,,GND,,,,,,,,,,,,
A29,,IOBM,IO_L0P_32,UNUSED,,32,,,,,,,,,
A30,,IOBM,IO_L2P_27,UNUSED,,27,,,,,,,,,
A31,,IOBS,IO_L2N_27,UNUSED,,27,,,,,,,,,
A32,,IOBM,IO_L3P_27,UNUSED,,27,,,,,,,,,
A33,,,GND,,,,,,,,,,,,
A34,,IOBM,IO_L7P_27,UNUSED,,27,,,,,,,,,
A35,,IOBS,IO_L7N_27,UNUSED,,27,,,,,,,,,
A36,,IOBS,IO_L10N_CC_27,UNUSED,,27,,,,,,,,,
A37,,IOBM,IO_L10P_CC_27,UNUSED,,27,,,,,,,,,
A38,,,GND,,,,,,,,,,,,
A39,,IOBM,IO_L15P_27,UNUSED,,27,,,,,,,,,
A40,,IOBS,IO_L15N_27,UNUSED,,27,,,,,,,,,
A41,,IOBM,IO_L16P_27,UNUSED,,27,,,,,,,,,
AA1,,IOBM,IO_L18P_12,UNUSED,,12,,,,,,,,,
AA2,,IOBS,IO_L18N_12,UNUSED,,12,,,,,,,,,
AA3,,,GND,,,,,,,,,,,,
AA4,,IOBM,IO_L16P_12,UNUSED,,12,,,,,,,,,
AA5,,IOBS,IO_L17N_12,UNUSED,,12,,,,,,,,,
AA6,,IOBS,IO_L15N_16,UNUSED,,16,,,,,,,,,
AA7,,IOBM,IO_L15P_16,UNUSED,,16,,,,,,,,,
AA8,,,VCCO_12,,,12,,,,,any******,,,,
AA9,,IOBS,IO_L16N_16,UNUSED,,16,,,,,,,,,
AA10,,IOBS,IO_L19N_16,UNUSED,,16,,,,,,,,,
AA11,,IOBM,IO_L19P_16,UNUSED,,16,,,,,,,,,
AA12,,,VCCAUX,,,,,,,,2.5,,,,
AA13,,,GND,,,,,,,,,,,,
AA14,,,VCCINT,,,,,,,,1.0,,,,
AA15,,,GND,,,,,,,,,,,,
AA16,,,VCCINT,,,,,,,,1.0,,,,
AA17,,,GND,,,,,,,,,,,,
AA18,,,VCCINT,,,,,,,,1.0,,,,
AA19,,,GND,,,,,,,,,,,,
AA20,,,VCCINT,,,,,,,,1.0,,,,
AA21,,,VREFN_0,,,,,,,,,,,,
AA22,,IPAD,VP_0,UNUSED,,0,,,,,,,,,
AA23,,,GND,,,,,,,,,,,,
AA24,,,VCCINT,,,,,,,,1.0,,,,
AA25,,,GND,,,,,,,,,,,,
AA26,,,VCCINT,,,,,,,,1.0,,,,
AA27,,,GND,,,,,,,,,,,,
AA28,,,VCCINT,,,,,,,,1.0,,,,
AA29,,,GND,,,,,,,,,,,,
AA30,,,VCCAUX,,,,,,,,2.5,,,,
AA31,,,GND,,,,,,,,,,,,
AA32,Z<29>,IOB,IO_L19N_19,OUTPUT,LVCMOS25*,19,12,SLOW,,,,UNLOCATED,NO,NONE,
AA33,,,GND,,,,,,,,,,,,
AA34,,IOBM,IO_L17P_15,UNUSED,,15,,,,,,,,,
AA35,,IOBM,IO_L16P_15,UNUSED,,15,,,,,,,,,
AA36,,IOBS,IO_L16N_15,UNUSED,,15,,,,,,,,,
AA37,,IOBS,IO_L11N_CC_SM14N_11,UNUSED,,11,,,,,,,,,
AA38,,,VCCO_13,,,13,,,,,any******,,,,
AA39,,IOBS,IO_L9N_CC_11,UNUSED,,11,,,,,,,,,
AA40,,IOBM,IO_L9P_CC_11,UNUSED,,11,,,,,,,,,
AA41,,IOBS,IO_L19N_SM9N_11,UNUSED,,11,,,,,,,,,
AA42,,IOBM,IO_L19P_SM9P_11,UNUSED,,11,,,,,,,,,
AB1,,IOBS,IO_L5N_14,UNUSED,,14,,,,,,,,,
AB2,,IOBM,IO_L5P_14,UNUSED,,14,,,,,,,,,
AB3,,IOBM,IO_L3P_14,UNUSED,,14,,,,,,,,,
AB4,,IOBS,IO_L3N_14,UNUSED,,14,,,,,,,,,
AB5,,,VCCO_12,,,12,,,,,any******,,,,
AB6,,IOBM,IO_L0P_14,UNUSED,,14,,,,,,,,,
AB7,,IOBS,IO_L4N_VREF_18,UNUSED,,18,,,,,,,,,
AB8,,IOBM,IO_L3P_18,UNUSED,,18,,,,,,,,,
AB9,,IOBS,IO_L3N_18,UNUSED,,18,,,,,,,,,
AB10,,,GND,,,,,,,,,,,,
AB11,,IOBM,IO_L0P_18,UNUSED,,18,,,,,,,,,
AB12,,,GND,,,,,,,,,,,,
AB13,,,VCCINT,,,,,,,,1.0,,,,
AB14,,,GND,,,,,,,,,,,,
AB15,,,VCCINT,,,,,,,,1.0,,,,
AB16,,,GND,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.0,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,,VCCINT,,,,,,,,1.0,,,,
AB20,,,GND,,,,,,,,,,,,
AB21,,IPAD,VN_0,UNUSED,,0,,,,,,,,,
AB22,,,VREFP_0,,,,,,,,,,,,
AB23,,,VCCINT,,,,,,,,1.0,,,,
AB24,,,GND,,,,,,,,,,,,
AB25,,,VCCINT,,,,,,,,1.0,,,,
AB26,,,GND,,,,,,,,,,,,
AB27,,,VCCINT,,,,,,,,1.0,,,,
AB28,,,GND,,,,,,,,,,,,
AB29,,,VCCAUX,,,,,,,,2.5,,,,
AB30,,,GND,,,,,,,,,,,,
AB31,,,VCCAUX,,,,,,,,2.5,,,,
AB32,,IOBS,IO_L0N_21,UNUSED,,21,,,,,,,,,
AB33,,IOBM,IO_L0P_21,UNUSED,,21,,,,,,,,,
AB34,,IOBM,IO_L0P_17,UNUSED,,17,,,,,,,,,
AB35,,,VCCO_13,,,13,,,,,any******,,,,
AB36,,IOBS,IO_L1N_17,UNUSED,,17,,,,,,,,,
AB37,,IOBM,IO_L8P_CC_SM1P_13,UNUSED,,13,,,,,,,,,
AB38,,IOBS,IO_L8N_CC_SM1N_13,UNUSED,,13,,,,,,,,,
AB39,,IOBM,IO_L9P_CC_SM0P_13,UNUSED,,13,,,,,,,,,
AB40,,,GND,,,,,,,,,,,,
AB41,,IOBM,IO_L0P_SM8P_13,UNUSED,,13,,,,,,,,,
AB42,,IOBS,IO_L0N_SM8N_13,UNUSED,,13,,,,,,,,,
AC1,,IOBM,IO_L6P_14,UNUSED,,14,,,,,,,,,
AC2,,,GND,,,,,,,,,,,,
AC3,,IOBM,IO_L2P_14,UNUSED,,14,,,,,,,,,
AC4,,IOBM,IO_L1P_14,UNUSED,,14,,,,,,,,,
AC5,,IOBS,IO_L1N_14,UNUSED,,14,,,,,,,,,
AC6,,IOBS,IO_L0N_14,UNUSED,,14,,,,,,,,,
AC7,,,GND,,,,,,,,,,,,
AC8,,IOBM,IO_L4P_18,UNUSED,,18,,,,,,,,,
AC9,,IOBS,IO_L2N_18,UNUSED,,18,,,,,,,,,
AC10,,IOBM,IO_L2P_18,UNUSED,,18,,,,,,,,,
AC11,,IOBS,IO_L0N_18,UNUSED,,18,,,,,,,,,
AC12,,,VCCAUX,,,,,,,,2.5,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,,,VCCINT,,,,,,,,1.0,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,,VCCINT,,,,,,,,1.0,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,,VCCINT,,,,,,,,1.0,,,,
AC19,,,GND,,,,,,,,,,,,
AC20,,,VCCINT,,,,,,,,1.0,,,,
AC21,,,DXN_0,,,,,,,,,,,,
AC22,,,DXP_0,,,,,,,,,,,,
AC23,,,GND,,,,,,,,,,,,
AC24,,,VCCINT,,,,,,,,1.0,,,,
AC25,,,GND,,,,,,,,,,,,
AC26,,,VCCINT,,,,,,,,1.0,,,,
AC27,,,GND,,,,,,,,,,,,
AC28,,,VCCINT,,,,,,,,1.0,,,,
AC29,,,GND,,,,,,,,,,,,
AC30,,,VCCAUX,,,,,,,,2.5,,,,
AC31,,,GND,,,,,,,,,,,,
AC32,,,GND,,,,,,,,,,,,
AC33,,IOBM,IO_L1P_21,UNUSED,,21,,,,,,,,,
AC34,,IOBS,IO_L0N_17,UNUSED,,17,,,,,,,,,
AC35,,IOBM,IO_L1P_17,UNUSED,,17,,,,,,,,,
AC36,,IOBM,IO_L2P_17,UNUSED,,17,,,,,,,,,
AC37,,,GND,,,,,,,,,,,,
AC38,,IOBS,IO_L9N_CC_SM0N_13,UNUSED,,13,,,,,,,,,
AC39,,IOBS,IO_L11N_CC_13,UNUSED,,13,,,,,,,,,
AC40,,IOBM,IO_L11P_CC_13,UNUSED,,13,,,,,,,,,
AC41,,IOBM,IO_L1P_SM7P_13,UNUSED,,13,,,,,,,,,
AC42,,,GND,,,,,,,,,,,,
AD1,,IOBS,IO_L6N_14,UNUSED,,14,,,,,,,,,
AD2,,IOBM,IO_L4P_14,UNUSED,,14,,,,,,,,,
AD3,,IOBS,IO_L2N_14,UNUSED,,14,,,,,,,,,
AD4,,,GND,,,,,,,,,,,,
AD5,,IOBM,IO_L5P_18,UNUSED,,18,,,,,,,,,
AD6,,IOBM,IO_L6P_18,UNUSED,,18,,,,,,,,,
AD7,,IOBM,IO_L7P_18,UNUSED,,18,,,,,,,,,
AD8,,IOBS,IO_L7N_18,UNUSED,,18,,,,,,,,,
AD9,,,VCCO_14,,,14,,,,,any******,,,,
AD10,,IOBS,IO_L1N_18,UNUSED,,18,,,,,,,,,
AD11,,IOBM,IO_L1P_18,UNUSED,,18,,,,,,,,,
AD12,,,GND,,,,,,,,,,,,
AD13,,,VCCAUX,,,,,,,,2.5,,,,
AD14,,,GND,,,,,,,,,,,,
AD15,,,VCCINT,,,,,,,,1.0,,,,
AD16,,,GND,,,,,,,,,,,,
AD17,,,VCCINT,,,,,,,,1.0,,,,
AD18,,,GND,,,,,,,,,,,,
AD19,,,VCCINT,,,,,,,,1.0,,,,
AD20,,,GND,,,,,,,,,,,,
AD21,,,VCCINT,,,,,,,,1.0,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,,VCCINT,,,,,,,,1.0,,,,
AD24,,,GND,,,,,,,,,,,,
AD25,,,VCCINT,,,,,,,,1.0,,,,
AD26,,,GND,,,,,,,,,,,,
AD27,,,VCCINT,,,,,,,,1.0,,,,
AD28,,,GND,,,,,,,,,,,,
AD29,,,VCCAUX,,,,,,,,2.5,,,,
AD30,,,GND,,,,,,,,,,,,
AD31,,,RSVD_0,,,,,,,,,,,,
AD32,,IOBS,IO_L1N_21,UNUSED,,21,,,,,,,,,
AD33,,IOBM,IO_L2P_21,UNUSED,,21,,,,,,,,,
AD34,,,GND,,,,,,,,,,,,
AD35,,IOBS,IO_L2N_17,UNUSED,,17,,,,,,,,,
AD36,,IOBM,IO_L3P_17,UNUSED,,17,,,,,,,,,
AD37,,IOBS,IO_L3N_17,UNUSED,,17,,,,,,,,,
AD38,,IOBS,IO_L4N_VREF_17,UNUSED,,17,,,,,,,,,
AD39,,,VCCO_13,,,13,,,,,any******,,,,
AD40,,IOBS,IO_L10N_CC_13,UNUSED,,13,,,,,,,,,
AD41,,IOBS,IO_L2N_SM6N_13,UNUSED,,13,,,,,,,,,
AD42,,IOBS,IO_L1N_SM7N_13,UNUSED,,13,,,,,,,,,
AE1,,,GND,,,,,,,,,,,,
AE2,,IOBM,IO_L7P_14,UNUSED,,14,,,,,,,,,
AE3,,IOBS,IO_L4N_VREF_14,UNUSED,,14,,,,,,,,,
AE4,,IOBM,IO_L8P_CC_18,UNUSED,,18,,,,,,,,,
AE5,,IOBS,IO_L5N_18,UNUSED,,18,,,,,,,,,
AE6,,,VCCO_14,,,14,,,,,any******,,,,
AE7,,IOBS,IO_L6N_18,UNUSED,,18,,,,,,,,,
AE8,,IOBS,IO_L1N_22,UNUSED,,22,,,,,,,,,
AE9,,IOBM,IO_L1P_22,UNUSED,,22,,,,,,,,,
AE10,,IOBS,IO_L0N_22,UNUSED,,22,,,,,,,,,
AE11,,,GND,,,,,,,,,,,,
AE12,,,VCCAUX,,,,,,,,2.5,,,,
AE13,,,GND,,,,,,,,,,,,
AE14,,,VCCINT,,,,,,,,1.0,,,,
AE15,,,GND,,,,,,,,,,,,
AE16,,,VCCINT,,,,,,,,1.0,,,,
AE17,,,GND,,,,,,,,,,,,
AE18,,,VCCINT,,,,,,,,1.0,,,,
AE19,,,GND,,,,,,,,,,,,
AE20,,,VCCINT,,,,,,,,1.0,,,,
AE21,,,GND,,,,,,,,,,,,
AE22,,,VCCINT,,,,,,,,1.0,,,,
AE23,,,GND,,,,,,,,,,,,
AE24,,,VCCINT,,,,,,,,1.0,,,,
AE25,,,GND,,,,,,,,,,,,
AE26,,,VCCINT,,,,,,,,1.0,,,,
AE27,,,GND,,,,,,,,,,,,
AE28,,,VCCINT,,,,,,,,1.0,,,,
AE29,,,GND,,,,,,,,,,,,
AE30,,,TCK_0,,,,,,,,,,,,
AE31,,,GND,,,,,,,,,,,,
AE32,,IOBS,IO_L2N_21,UNUSED,,21,,,,,,,,,
AE33,,IOBM,IO_L3P_21,UNUSED,,21,,,,,,,,,
AE34,,IOBS,IO_L3N_21,UNUSED,,21,,,,,,,,,
AE35,,IOBM,IO_L8P_CC_21,UNUSED,,21,,,,,,,,,
AE36,,,VCCO_17,,,17,,,,,any******,,,,
AE37,,IOBM,IO_L4P_17,UNUSED,,17,,,,,,,,,
AE38,,IOBS,IO_L5N_17,UNUSED,,17,,,,,,,,,
AE39,,IOBM,IO_L5P_17,UNUSED,,17,,,,,,,,,
AE40,,IOBM,IO_L10P_CC_13,UNUSED,,13,,,,,,,,,
AE41,,,GND,,,,,,,,,,,,
AE42,,IOBM,IO_L2P_SM6P_13,UNUSED,,13,,,,,,,,,
AF1,,IOBS,IO_L7N_14,UNUSED,,14,,,,,,,,,
AF2,,IOBM,IO_L8P_CC_14,UNUSED,,14,,,,,,,,,
AF3,,,VCCO_18,,,18,,,,,any******,,,,
AF4,,IOBS,IO_L8N_CC_18,UNUSED,,18,,,,,,,,,
AF5,,IOBS,IO_L9N_CC_18,UNUSED,,18,,,,,,,,,
AF6,,IOBM,IO_L9P_CC_18,UNUSED,,18,,,,,,,,,
AF7,,IOBS,IO_L3N_22,UNUSED,,22,,,,,,,,,
AF8,,,GND,,,,,,,,,,,,
AF9,,IOBS,IO_L2N_22,UNUSED,,22,,,,,,,,,
AF10,,IOBM,IO_L2P_22,UNUSED,,22,,,,,,,,,
AF11,,IOBM,IO_L0P_22,UNUSED,,22,,,,,,,,,
AF12,,IOBS,IO_L8N_CC_22,UNUSED,,22,,,,,,,,,
AF13,,,VCCAUX,,,,,,,,2.5,,,,
AF14,,,TMS_0,,,,,,,,,,,,
AF15,,,CCLK_0,,,,,,,,,,,,
AF16,,,GND,,,,,,,,,,,,
AF17,,,VCCINT,,,,,,,,1.0,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,,VCCINT,,,,,,,,1.0,,,,
AF20,,,GND,,,,,,,,,,,,
AF21,,,VCCINT,,,,,,,,1.0,,,,
AF22,,,GND,,,,,,,,,,,,
AF23,,,VCCINT,,,,,,,,1.0,,,,
AF24,,,GND,,,,,,,,,,,,
AF25,,,VCCINT,,,,,,,,1.0,,,,
AF26,,,GND,,,,,,,,,,,,
AF27,,,VCCINT,,,,,,,,1.0,,,,
AF28,,,GND,,,,,,,,,,,,
AF29,,,VCCAUX,,,,,,,,2.5,,,,
AF30,,,M1_0,,,,,,,,,,,,
AF31,,IOBS,IO_L0N_25,UNUSED,,25,,,,,,,,,
AF32,,IOBM,IO_L1P_25,UNUSED,,25,,,,,,,,,
AF33,,,GND,,,,,,,,,,,,
AF34,,IOBS,IO_L8N_CC_21,UNUSED,,21,,,,,,,,,
AF35,,IOBM,IO_L9P_CC_21,UNUSED,,21,,,,,,,,,
AF36,,IOBS,IO_L9N_CC_21,UNUSED,,21,,,,,,,,,
AF37,,IOBS,IO_L7N_17,UNUSED,,17,,,,,,,,,
AF38,,,GND,,,,,,,,,,,,
AF39,,IOBM,IO_L6P_17,UNUSED,,17,,,,,,,,,
AF40,,IOBM,IO_L4P_13,UNUSED,,13,,,,,,,,,
AF41,,IOBM,IO_L3P_SM5P_13,UNUSED,,13,,,,,,,,,
AF42,,IOBS,IO_L3N_SM5N_13,UNUSED,,13,,,,,,,,,
AG1,,IOBS,IO_L11N_CC_14,UNUSED,,14,,,,,,,,,
AG2,,IOBS,IO_L8N_CC_14,UNUSED,,14,,,,,,,,,
AG3,,IOBM,IO_L9P_CC_14,UNUSED,,14,,,,,,,,,
AG4,,IOBS,IO_L11N_CC_18,UNUSED,,18,,,,,,,,,
AG5,,,GND,,,,,,,,,,,,
AG6,,IOBM,IO_L10P_CC_18,UNUSED,,18,,,,,,,,,
AG7,,IOBM,IO_L3P_22,UNUSED,,22,,,,,,,,,
AG8,,IOBS,IO_L4N_VREF_22,UNUSED,,22,,,,,,,,,
AG9,,IOBS,IO_L7N_22,UNUSED,,22,,,,,,,,,
AG10,,,VCCO_14,,,14,,,,,any******,,,,
AG11,,IOBS,IO_L9N_CC_22,UNUSED,,22,,,,,,,,,
AG12,,IOBM,IO_L8P_CC_22,UNUSED,,22,,,,,,,,,
AG13,,,GND,,,,,,,,,,,,
AG14,,,TDI_0,,,,,,,,,,,,
AG15,,,GND,,,,,,,,,,,,
AG16,,,VCCINT,,,,,,,,1.0,,,,
AG17,,,GND,,,,,,,,,,,,
AG18,,,VCCINT,,,,,,,,1.0,,,,
AG19,,,GND,,,,,,,,,,,,
AG20,,,VCCINT,,,,,,,,1.0,,,,
AG21,,,GND,,,,,,,,,,,,
AG22,,,VCCINT,,,,,,,,1.0,,,,
AG23,,,GND,,,,,,,,,,,,
AG24,,,VCCINT,,,,,,,,1.0,,,,
AG25,,,GND,,,,,,,,,,,,
AG26,,,VCCINT,,,,,,,,1.0,,,,
AG27,,,GND,,,,,,,,,,,,
AG28,,,VCCINT,,,,,,,,1.0,,,,
AG29,,,M0_0,,,,,,,,,,,,
AG30,,,VCCO_0,,,0,,,,,any******,,,,
AG31,,IOBM,IO_L0P_25,UNUSED,,25,,,,,,,,,
AG32,,IOBS,IO_L2N_25,UNUSED,,25,,,,,,,,,
AG33,,IOBS,IO_L1N_25,UNUSED,,25,,,,,,,,,
AG34,,IOBS,IO_L10N_CC_21,UNUSED,,21,,,,,,,,,
AG35,,,GND,,,,,,,,,,,,
AG36,,IOBS,IO_L11N_CC_21,UNUSED,,21,,,,,,,,,
AG37,,IOBM,IO_L7P_17,UNUSED,,17,,,,,,,,,
AG38,,IOBS,IO_L6N_17,UNUSED,,17,,,,,,,,,
AG39,,IOBM,IO_L12P_VRN_17,UNUSED,,17,,,,,,,,,
AG40,,,VCCO_17,,,17,,,,,any******,,,,
AG41,,IOBS,IO_L4N_VREF_13,UNUSED,,13,,,,,,,,,
AG42,,IOBM,IO_L5P_SM4P_13,UNUSED,,13,,,,,,,,,
AH1,,IOBM,IO_L11P_CC_14,UNUSED,,14,,,,,,,,,
AH2,,,GND,,,,,,,,,,,,
AH3,,IOBS,IO_L9N_CC_14,UNUSED,,14,,,,,,,,,
AH4,,IOBM,IO_L11P_CC_18,UNUSED,,18,,,,,,,,,
AH5,,IOBS,IO_L13N_18,UNUSED,,18,,,,,,,,,
AH6,,IOBS,IO_L10N_CC_18,UNUSED,,18,,,,,,,,,
AH7,,,VCCO_18,,,18,,,,,any******,,,,
AH8,,IOBM,IO_L4P_22,UNUSED,,22,,,,,,,,,
AH9,,IOBM,IO_L6P_22,UNUSED,,22,,,,,,,,,
AH10,,IOBM,IO_L7P_22,UNUSED,,22,,,,,,,,,
AH11,,IOBM,IO_L9P_CC_22,UNUSED,,22,,,,,,,,,
AH12,,,GND,,,,,,,,,,,,
AH13,,,VCCAUX,,,,,,,,2.5,,,,
AH14,,,TDO_0,,,,,,,,,,,,
AH15,,,D_OUT_BUSY_0,,,,,,,,,,,,
AH16,,IOBM,IO_L0P_CC_RS1_2,UNUSED,,2,,,,,,,,,
AH17,,,VCCINT,,,,,,,,1.0,,,,
AH18,,,GND,,,,,,,,,,,,
AH19,,,VCCINT,,,,,,,,1.0,,,,
AH20,,,GND,,,,,,,,,,,,
AH21,,,VCCINT,,,,,,,,1.0,,,,
AH22,,,GND,,,,,,,,,,,,
AH23,,,VCCINT,,,,,,,,1.0,,,,
AH24,,,GND,,,,,,,,,,,,
AH25,,,VCCINT,,,,,,,,1.0,,,,
AH26,,,GND,,,,,,,,,,,,
AH27,,,VCCINT,,,,,,,,1.0,,,,
AH28,,,M2_0,,,,,,,,,,,,
AH29,,IOBS,IO_L1N_CC_A24_2,UNUSED,,2,,,,,,,,,
AH30,,IOBM,IO_L1P_CC_A25_2,UNUSED,,2,,,,,,,,,
AH31,,IOBM,IO_L3P_25,UNUSED,,25,,,,,,,,,
AH32,,,GND,,,,,,,,,,,,
AH33,,IOBM,IO_L2P_25,UNUSED,,25,,,,,,,,,
AH34,,IOBM,IO_L10P_CC_21,UNUSED,,21,,,,,,,,,
AH35,,IOBM,IO_L11P_CC_21,UNUSED,,21,,,,,,,,,
AH36,,IOBM,IO_L16P_21,UNUSED,,21,,,,,,,,,
AH37,,,VCCO_17,,,17,,,,,any******,,,,
AH38,,IOBS,IO_L15N_17,UNUSED,,17,,,,,,,,,
AH39,,IOBS,IO_L12N_VRP_17,UNUSED,,17,,,,,,,,,
AH40,,IOBM,IO_L7P_SM2P_13,UNUSED,,13,,,,,,,,,
AH41,,IOBS,IO_L5N_SM4N_13,UNUSED,,13,,,,,,,,,
AH42,,,GND,,,,,,,,,,,,
AJ1,,IOBS,IO_L13N_14,UNUSED,,14,,,,,,,,,
AJ2,,IOBM,IO_L10P_CC_14,UNUSED,,14,,,,,,,,,
AJ3,,IOBS,IO_L10N_CC_14,UNUSED,,14,,,,,,,,,
AJ4,,,VCCO_18,,,18,,,,,any******,,,,
AJ5,,IOBM,IO_L12P_VRN_18,UNUSED,,18,,,,,,,,,
AJ6,,IOBM,IO_L13P_18,UNUSED,,18,,,,,,,,,
AJ7,,IOBM,IO_L5P_22,UNUSED,,22,,,,,,,,,
AJ8,,IOBS,IO_L6N_22,UNUSED,,22,,,,,,,,,
AJ9,,,GND,,,,,,,,,,,,
AJ10,,IOBM,IO_L18P_26,UNUSED,,26,,,,,,,,,
AJ11,,IOBS,IO_L18N_26,UNUSED,,26,,,,,,,,,
AJ12,,IOBM,IO_L19P_26,UNUSED,,26,,,,,,,,,
AJ13,,IOBM,IO_L6P_D7_2,UNUSED,,2,,,,,,,,,
AJ14,,,GND,,,,,,,,,,,,
AJ15,,IOBS,IO_L0N_CC_RS0_2,UNUSED,,2,,,,,,,,,
AJ16,,IOBM,IO_L2P_A23_2,UNUSED,,2,,,,,,,,,
AJ17,,IOBS,IO_L2N_A22_2,UNUSED,,2,,,,,,,,,
AJ18,,IOBS,IO_L16N_6,UNUSED,,6,,,,,,,,,
AJ19,,,GND,,,,,,,,,,,,
AJ20,,IOBS,IO_L1N_8,UNUSED,,8,,,,,,,,,
AJ21,,IOBM,IO_L1P_8,UNUSED,,8,,,,,,,,,
AJ22,,IOBS,IO_L0N_8,UNUSED,,8,,,,,,,,,
AJ23,,IOBM,IO_L0P_8,UNUSED,,8,,,,,,,,,
AJ24,,,VCCINT,,,,,,,,1.0,,,,
AJ25,,IOBM,IO_L17P_6,UNUSED,,6,,,,,,,,,
AJ26,,IOBM,IO_L9P_D1_FS1_2,UNUSED,,2,,,,,,,,,
AJ27,,IOBS,IO_L9N_D0_FS0_2,UNUSED,,2,,,,,,,,,
AJ28,,IOBM,IO_L7P_D5_2,UNUSED,,2,,,,,,,,,
AJ29,,,GND,,,,,,,,,,,,
AJ30,,IOBS,IO_L3N_A20_2,UNUSED,,2,,,,,,,,,
AJ31,,IOBS,IO_L3N_25,UNUSED,,25,,,,,,,,,
AJ32,,IOBM,IO_L17P_25,UNUSED,,25,,,,,,,,,
AJ33,,IOBS,IO_L16N_25,UNUSED,,25,,,,,,,,,
AJ34,,,VCCO_21,,,21,,,,,any******,,,,
AJ35,,IOBM,IO_L17P_21,UNUSED,,21,,,,,,,,,
AJ36,,IOBS,IO_L16N_21,UNUSED,,21,,,,,,,,,
AJ37,,IOBM,IO_L15P_17,UNUSED,,17,,,,,,,,,
AJ38,,IOBM,IO_L13P_17,UNUSED,,17,,,,,,,,,
AJ39,,,GND,,,,,,,,,,,,
AJ40,,IOBS,IO_L7N_SM2N_13,UNUSED,,13,,,,,,,,,
AJ41,,IOBS,IO_L6N_SM3N_13,UNUSED,,13,,,,,,,,,
AJ42,,IOBM,IO_L6P_SM3P_13,UNUSED,,13,,,,,,,,,
AK1,,,GND,,,,,,,,,,,,
AK2,,IOBM,IO_L13P_14,UNUSED,,14,,,,,,,,,
AK3,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
AK4,,IOBS,IO_L12N_VRP_18,UNUSED,,18,,,,,,,,,
AK5,,IOBM,IO_L15P_18,UNUSED,,18,,,,,,,,,
AK6,,,GND,,,,,,,,,,,,
AK7,,IOBS,IO_L5N_22,UNUSED,,22,,,,,,,,,
AK8,,IOBM,IO_L10P_CC_22,UNUSED,,22,,,,,,,,,
AK9,,IOBS,IO_L11N_CC_22,UNUSED,,22,,,,,,,,,
AK10,,IOBM,IO_L17P_26,UNUSED,,26,,,,,,,,,
